trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.2, 'e': 0.7993151343693651}",30,0,-143.99332493900474,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
113,False,"{'a': 0.2, 'e': 0.7977181016656743}",25,0,-219.34192070408548,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
114,False,"{'a': 0.2, 'e': 0.7961242598354538}",25,11,-48.795313494754645,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
115,False,"{'a': 0.2, 'e': 0.794533602503334}",30,0,-152.67879524594363,"{0: 18, 1: 6, 2: 2, 3: 2, 4: 2}",0
116,False,"{'a': 0.2, 'e': 0.7929461233066837}",20,0,-132.19990205627104,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
117,False,"{'a': 0.2, 'e': 0.7913618158955839}",25,7,-37.37518933481869,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 0}",1
118,False,"{'a': 0.2, 'e': 0.7897806739328027}",25,0,-56.10154870831518,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.2, 'e': 0.7882026910937704}",20,0,-134.64606990011904,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
120,False,"{'a': 0.2, 'e': 0.7866278610665535}",20,0,-36.940608953609974,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
121,False,"{'a': 0.2, 'e': 0.7850561775518295}",20,0,-67.25133633801954,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.2, 'e': 0.7834876342628625}",25,11,-41.20246438864855,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.2, 'e': 0.7819222249254772}",20,5,-57.305241306891645,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.7803599432780343}",20,0,-124.30081437117607,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
125,False,"{'a': 0.2, 'e': 0.7788007830714049}",25,0,-147.47552263916663,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
126,False,"{'a': 0.2, 'e': 0.7772447380689461}",25,0,-175.6338847132011,"{0: 14, 1: 4, 2: 1, 3: 4, 4: 2}",0
127,False,"{'a': 0.2, 'e': 0.775691802046476}",25,4,-83.94595659694386,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
128,False,"{'a': 0.2, 'e': 0.7741419687922484}",20,0,-83.12919921984897,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
129,False,"{'a': 0.2, 'e': 0.772595232106928}",25,11,-27.678249243555005,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.2, 'e': 0.7710515858035663}",30,0,-120.45939581795609,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
131,False,"{'a': 0.2, 'e': 0.7695110237075758}",20,0,-20.956709758490746,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.2, 'e': 0.7679735396567061}",30,0,-124.9868052412502,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 3}",0
133,False,"{'a': 0.2, 'e': 0.7664391275010192}",25,0,-12.655755084407435,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.764907781102864}",25,0,-80.38241760814284,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
135,False,"{'a': 0.2, 'e': 0.7633794943368531}",20,0,-10.016280143111903,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
136,False,"{'a': 0.2, 'e': 0.7618542610898376}",25,3,-177.07477852957447,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 3}",1
137,False,"{'a': 0.2, 'e': 0.7603320752608821}",20,0,-123.64898630356616,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
138,False,"{'a': 0.2, 'e': 0.7588129307612413}",25,0,-76.22211734490476,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
139,False,"{'a': 0.2, 'e': 0.7572968215143355}",30,0,-71.67429782333379,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
140,False,"{'a': 0.2, 'e': 0.7557837414557255}",30,0,-209.31112487053744,"{0: 18, 1: 0, 2: 7, 3: 2, 4: 3}",0
141,False,"{'a': 0.2, 'e': 0.754273684533089}",20,0,-96.83723687561827,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
142,False,"{'a': 0.2, 'e': 0.7527666447061963}",25,19,0.2498780162499401,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.751262615946886}",25,0,-130.38451104496815,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
144,False,"{'a': 0.2, 'e': 0.7497615922390413}",20,0,-157.4584830936251,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
145,False,"{'a': 0.2, 'e': 0.7482635675785653}",20,0,-61.488424888066376,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
146,False,"{'a': 0.2, 'e': 0.7467685359733571}",20,12,-41.67852621148577,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.2, 'e': 0.7452764914432887}",20,0,-22.86589318871771,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
148,False,"{'a': 0.2, 'e': 0.7437874280201796}",25,0,-160.4806733233935,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
149,False,"{'a': 0.2, 'e': 0.7423013397477743}",20,13,2.0659849415393015,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.2, 'e': 0.7408182206817179}",20,0,-106.753355142693,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
151,False,"{'a': 0.2, 'e': 0.7393380648895319}",30,17,-41.12808643199808,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.7378608664505911}",25,0,-41.05062722144012,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.2, 'e': 0.7363866194561001}",20,0,-96.46046155861387,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
154,False,"{'a': 0.2, 'e': 0.7349153180090687}",25,0,-267.27721143069084,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 6}",0
155,False,"{'a': 0.2, 'e': 0.7334469562242892}",30,4,-19.366805351533397,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 0}",1
156,False,"{'a': 0.2, 'e': 0.7319815282283126}",20,13,-8.170629708080027,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.7305190281594249}",30,0,-104.79654339815939,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
158,False,"{'a': 0.2, 'e': 0.7290594501676237}",20,12,-26.52203617161153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.2, 'e': 0.7276027884145955}",25,0,-166.36757069422208,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
160,False,"{'a': 0.2, 'e': 0.7261490370736909}",20,0,-168.63197972269683,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
161,False,"{'a': 0.2, 'e': 0.7246981903299029}",20,7,-81.60728346350463,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
162,False,"{'a': 0.2, 'e': 0.7232502423798424}",30,0,-91.12182673902696,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
163,False,"{'a': 0.2, 'e': 0.7218051874317158}",20,0,-68.53718085086003,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
164,False,"{'a': 0.2, 'e': 0.7203630197053014}",20,0,-45.451204129682665,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
165,False,"{'a': 0.2, 'e': 0.7189237334319262}",20,7,-63.334918527071096,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
166,False,"{'a': 0.2, 'e': 0.7174873228544433}",20,8,-16.708170497874065,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.7160537822272085}",20,6,-35.24265622163983,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.7146231058160573}",20,0,-72.79132041226514,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
169,False,"{'a': 0.2, 'e': 0.7131952878982822}",30,0,-33.29587980212213,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
170,False,"{'a': 0.2, 'e': 0.7117703227626097}",20,0,-31.065731959247657,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
171,False,"{'a': 0.2, 'e': 0.7103482047091773}",25,0,-170.03937243985735,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
172,False,"{'a': 0.2, 'e': 0.7089289280495107}",25,4,-54.37824352899391,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 1}",1
173,False,"{'a': 0.2, 'e': 0.7075124871065016}",30,0,-114.60774359349702,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
174,False,"{'a': 0.2, 'e': 0.7060988762143844}",25,0,-87.23292176527491,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
175,False,"{'a': 0.2, 'e': 0.7046880897187134}",25,8,-112.2412145598044,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 2}",1
176,False,"{'a': 0.2, 'e': 0.7032801219763409}",25,0,-77.42290749939501,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
177,False,"{'a': 0.2, 'e': 0.701874967355394}",20,6,-39.81260290244697,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.2, 'e': 0.7004726202352524}",20,0,-120.95879673398605,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
179,False,"{'a': 0.2, 'e': 0.6990730750065257}",20,0,-7.408451877524196,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.2, 'e': 0.697676326071031}",20,0,-39.90267295137767,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
181,False,"{'a': 0.2, 'e': 0.696282367841771}",25,10,-35.15865343772845,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.2, 'e': 0.6948911947429106}",20,0,-96.75761705923026,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
183,False,"{'a': 0.2, 'e': 0.6935028012097558}",25,0,-139.79877182462513,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
